Imp_Value,Importer,Product,Exporter,Trade_Year,Duty_Type,Simple_Avg_Tariff,GDP_Importer,GDP_Exporter,Distance,NTB_Importer,NTB_Exporter,CPTPP_TC,CPTPP_TD1,CPTPP_TD2,IMP_1,IMP_2,IMP_3,IMP_4,IMP_5,IMP_6,IMP_7,IMP_8,IMP_9,IMP_10,IMP_11,IMP_12,EXP_1,EXP_2,EXP_3,EXP_4,EXP_5,EXP_6,EXP_7,EXP_8,EXP_9,EXP_10,EXP_11,EXP_12,LL,Log_Imports,Log_GDP_Imp,Log_GDP_Exp,Log_Dist,Log_NTB_Imp,Log_NTB_Exp,Log_Tariff,COB
2304484.893,Mexico,"ELE - Computer, electronic and optical products",Vietnam,2018,MFN,1.68,1222408203,308702086.8,14639,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.362573865,9.087216256,8.489539565,4.165511411,0,0.6989700043,0.2253092817,0
4550.936,Mexico,MVH - Motor vehicles and parts,Australia,2018,MFN,5.48,1222408203,1428529571,14359,1,3.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.658100728,9.087216256,9.154889235,4.157124196,0,0.5440680444,0.7387805585,0
0.335,Mexico,MVH - Motor vehicles and parts,Brunei,2018,MFN,1.22,1222408203,13567351.18,14893,1,2.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.474955193,9.087216256,7.132495067,4.17298219,0,0.3802112417,0.08635983067,0
1836147.837,Mexico,MVH - Motor vehicles and parts,Canada,2018,MFN,10.23,1222408203,1725329193,3604,1,4.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.263907645,9.087216256,9.236871971,3.556784782,0,0.6232492904,1.009875634,0
7200.901,Mexico,MVH - Motor vehicles and parts,Chile,2018,MFN,3.61,1222408203,295402652,7353,1,1.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.85738684,9.087216256,8.47041439,3.866464566,0,0.1139433523,0.5575072019,0
1689483.416,Mexico,MVH - Motor vehicles and parts,India,2018,MFN,8.37,1222408203,2702929719,15108,1,4.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.227753933,9.087216256,9.431834753,4.179206976,0,0.69019608,0.922725458,0
3961499.164,Mexico,MVH - Motor vehicles and parts,Japan,2018,MFN,9.53,1222408203,5037835383,10791,1,3.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.597859569,9.087216256,9.702243972,4.033061693,0,0.5185139399,0.9790929006,0
13163.548,Mexico,MVH - Motor vehicles and parts,Malaysia,2018,MFN,1.83,1222408203,358791513.2,15924,1,2.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.119372961,9.087216256,8.554842162,4.202052169,0,0.3802112417,0.2624510897,0
708.056,Mexico,MVH - Motor vehicles and parts,New Zealand,2018,MFN,2.85,1222408203,211953111,11103,1,2.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.850067607,9.087216256,8.326239795,4.04544034,0,0.3979400087,0.45484486,0
40.044,Mexico,MVH - Motor vehicles and parts,Peru,2018,MFN,0.92,1222408203,222597212.9,4708,1,1.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.602537453,9.087216256,8.347519722,3.672836454,0,0.1461280357,-0.03621217265,0
13378.923,Mexico,MVH - Motor vehicles and parts,Singapore,2018,MFN,1.79,1222408203,376998146.5,16024,1,2.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.126421154,9.087216256,8.576339215,4.204770936,0,0.414973348,0.252853031,0
