"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","DutyType","Simple Average","Imports Value in 1000 USD"
"GP","H4","702","Singapore","43","MVH - Motor vehicles and parts","484","Mexico",2018,2017,"MFN",0,24350.425
"GP","H4","702","Singapore","43","MVH - Motor vehicles and parts","554","New Zealand",2018,2017,"MFN",0,499.197
"GP","H4","702","Singapore","43","MVH - Motor vehicles and parts","604","Peru",2018,2017,"MFN",0,567.649
"GP","H4","702","Singapore","43","MVH - Motor vehicles and parts","704","Vietnam",2018,2017,"MFN",0,9037.558
"GP","H5","036","Australia","10","OAP - Animal products nec","036","Australia",2018,2018,"MFN",0.31,661.172
"GP","H5","036","Australia","10","OAP - Animal products nec","124","Canada",2018,2018,"MFN",2.5,762.875
"GP","H5","036","Australia","10","OAP - Animal products nec","152","Chile",2018,2018,"MFN",2.5,366.179
"GP","H5","036","Australia","10","OAP - Animal products nec","356","India",2018,2018,"MFN",0,379.291
"GP","H5","036","Australia","10","OAP - Animal products nec","458","Malaysia",2018,2018,"MFN",0,2075.77
"GP","H5","036","Australia","10","OAP - Animal products nec","554","New Zealand",2018,2018,"MFN",0.25,56374.666
"GP","H5","036","Australia","10","OAP - Animal products nec","702","Singapore",2018,2018,"MFN",0,212.745
"GP","H5","036","Australia","10","OAP - Animal products nec","704","Vietnam",2018,2018,"MFN",0.83,89.545
"GP","H5","036","Australia","40","ELE - Computer, electronic and optical products","036","Australia",2018,2018,"MFN",0.78,112553.213
"GP","H5","036","Australia","40","ELE - Computer, electronic and optical products","096","Brunei",2018,2018,"MFN",0,116.132
"GP","H5","036","Australia","40","ELE - Computer, electronic and optical products","124","Canada",2018,2018,"MFN",0.88,169438.425
"GP","H5","036","Australia","40","ELE - Computer, electronic and optical products","152","Chile",2018,2018,"MFN",0.8,490.541
"GP","H5","036","Australia","40","ELE - Computer, electronic and optical products","356","India",2018,2018,"MFN",0.75,58380.257
"GP","H5","036","Australia","40","ELE - Computer, electronic and optical products","392","Japan",2018,2018,"MFN",0.74,661757.289
"GP","H5","036","Australia","40","ELE - Computer, electronic and optical products","458","Malaysia",2018,2018,"MFN",0.87,1310855.067
"GP","H5","036","Australia","40","ELE - Computer, electronic and optical products","484","Mexico",2018,2018,"MFN",0.84,631109.476
"GP","H5","036","Australia","40","ELE - Computer, electronic and optical products","554","New Zealand",2018,2018,"MFN",0.86,73062.899
"GP","H5","036","Australia","40","ELE - Computer, electronic and optical products","604","Peru",2018,2018,"MFN",0.35,596.316
"GP","H5","036","Australia","40","ELE - Computer, electronic and optical products","702","Singapore",2018,2018,"MFN",0.76,568051.931
"GP","H5","036","Australia","40","ELE - Computer, electronic and optical products","704","Vietnam",2018,2018,"MFN",0.97,1704834.161
"GP","H5","036","Australia","43","MVH - Motor vehicles and parts","036","Australia",2018,2018,"MFN",4.04,11251.216
"GP","H5","036","Australia","43","MVH - Motor vehicles and parts","124","Canada",2018,2018,"MFN",4.1,77543.229
"GP","H5","036","Australia","43","MVH - Motor vehicles and parts","152","Chile",2018,2018,"MFN",3.91,3092.177
"GP","H5","036","Australia","43","MVH - Motor vehicles and parts","356","India",2018,2018,"MFN",3.7,137110.362
"GP","H5","036","Australia","43","MVH - Motor vehicles and parts","392","Japan",2018,2018,"MFN",4.15,8447394.196
"GP","H5","036","Australia","43","MVH - Motor vehicles and parts","458","Malaysia",2018,2018,"MFN",4.03,37420.329
"GP","H5","036","Australia","43","MVH - Motor vehicles and parts","484","Mexico",2018,2018,"MFN",4.13,478833.513
"GP","H5","036","Australia","43","MVH - Motor vehicles and parts","554","New Zealand",2018,2018,"MFN",3.98,62707.312
"GP","H5","036","Australia","43","MVH - Motor vehicles and parts","604","Peru",2018,2018,"MFN",4.17,307.22
"GP","H5","036","Australia","43","MVH - Motor vehicles and parts","702","Singapore",2018,2018,"MFN",3.89,30267.225
"GP","H5","036","Australia","43","MVH - Motor vehicles and parts","704","Vietnam",2018,2018,"MFN",3.98,18259.816
"GP","H5","096","Brunei","10","OAP - Animal products nec","036","Australia",2018,2018,"MFN",0,186.202
